2025-12-13 19:26:50 - System Idle Process (PID: 0) - CPU: 667.0%, MEM: 4.844424926794684e-05%
2025-12-13 19:27:52 - System Idle Process (PID: 0) - CPU: 650.7%, MEM: 4.844424926794684e-05%
2025-12-13 19:28:54 - System Idle Process (PID: 0) - CPU: 696.7%, MEM: 4.844424926794684e-05%
2025-12-13 19:29:57 - System Idle Process (PID: 0) - CPU: 662.6%, MEM: 4.844424926794684e-05%
2025-12-13 19:30:59 - System Idle Process (PID: 0) - CPU: 661.2%, MEM: 4.844424926794684e-05%
2025-12-13 19:32:01 - System Idle Process (PID: 0) - CPU: 660.8%, MEM: 4.844424926794684e-05%
2025-12-13 19:33:04 - System Idle Process (PID: 0) - CPU: 645.1%, MEM: 4.844424926794684e-05%
2025-12-13 19:34:06 - System Idle Process (PID: 0) - CPU: 621.8%, MEM: 4.844424926794684e-05%
2025-12-13 19:35:09 - System Idle Process (PID: 0) - CPU: 659.4%, MEM: 4.844424926794684e-05%
2025-12-13 19:36:11 - System Idle Process (PID: 0) - CPU: 682.8%, MEM: 4.844424926794684e-05%
2025-12-13 19:37:14 - System Idle Process (PID: 0) - CPU: 665.9%, MEM: 4.844424926794684e-05%
2025-12-13 19:38:17 - System Idle Process (PID: 0) - CPU: 666.6%, MEM: 4.844424926794684e-05%
2025-12-13 19:39:19 - System Idle Process (PID: 0) - CPU: 675.4%, MEM: 4.844424926794684e-05%
2025-12-13 19:40:21 - System Idle Process (PID: 0) - CPU: 698.4%, MEM: 4.844424926794684e-05%
2025-12-13 19:41:23 - System Idle Process (PID: 0) - CPU: 629.7%, MEM: 4.844424926794684e-05%
2025-12-13 19:42:25 - System Idle Process (PID: 0) - CPU: 677.3%, MEM: 4.844424926794684e-05%
2025-12-13 19:43:27 - System Idle Process (PID: 0) - CPU: 678.5%, MEM: 4.844424926794684e-05%
2025-12-13 19:44:28 - System Idle Process (PID: 0) - CPU: 683.8%, MEM: 4.844424926794684e-05%
2025-12-13 19:45:30 - System Idle Process (PID: 0) - CPU: 558.1%, MEM: 4.844424926794684e-05%
2025-12-13 19:46:33 - System Idle Process (PID: 0) - CPU: 423.5%, MEM: 4.844424926794684e-05%
2025-12-13 19:46:36 - python.exe (PID: 24172) - CPU: 85.3%, MEM: 0.7933956923857994%
2025-12-13 19:47:36 - System Idle Process (PID: 0) - CPU: 379.0%, MEM: 4.844424926794684e-05%
2025-12-13 19:47:39 - python.exe (PID: 24172) - CPU: 86.6%, MEM: 0.7761979838956782%
2025-12-16 13:06:31 - System Idle Process (PID: 0) - CPU: 695.5%, MEM: 4.844424926794684e-05%
2025-12-16 13:07:33 - System Idle Process (PID: 0) - CPU: 635.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:08:34 - System Idle Process (PID: 0) - CPU: 687.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:09:36 - System Idle Process (PID: 0) - CPU: 639.9%, MEM: 4.844424926794684e-05%
2025-12-16 13:11:24 - System Idle Process (PID: 0) - CPU: 655.1%, MEM: 4.844424926794684e-05%
2025-12-16 13:12:26 - System Idle Process (PID: 0) - CPU: 661.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:13:28 - System Idle Process (PID: 0) - CPU: 681.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:14:30 - System Idle Process (PID: 0) - CPU: 674.3%, MEM: 4.844424926794684e-05%
2025-12-16 13:15:32 - System Idle Process (PID: 0) - CPU: 668.9%, MEM: 4.844424926794684e-05%
2025-12-16 13:16:34 - System Idle Process (PID: 0) - CPU: 698.8%, MEM: 4.844424926794684e-05%
2025-12-16 13:17:35 - System Idle Process (PID: 0) - CPU: 685.4%, MEM: 4.844424926794684e-05%
2025-12-16 13:18:37 - System Idle Process (PID: 0) - CPU: 706.5%, MEM: 4.844424926794684e-05%
2025-12-16 13:19:39 - System Idle Process (PID: 0) - CPU: 677.8%, MEM: 4.844424926794684e-05%
2025-12-16 13:20:40 - System Idle Process (PID: 0) - CPU: 663.2%, MEM: 4.844424926794684e-05%
2025-12-16 13:21:41 - System Idle Process (PID: 0) - CPU: 696.2%, MEM: 4.844424926794684e-05%
2025-12-16 13:22:43 - System Idle Process (PID: 0) - CPU: 715.9%, MEM: 4.844424926794684e-05%
2025-12-16 13:23:44 - System Idle Process (PID: 0) - CPU: 702.7%, MEM: 4.844424926794684e-05%
2025-12-16 13:24:45 - System Idle Process (PID: 0) - CPU: 713.4%, MEM: 4.844424926794684e-05%
2025-12-16 13:25:47 - System Idle Process (PID: 0) - CPU: 705.4%, MEM: 4.844424926794684e-05%
2025-12-16 13:26:48 - System Idle Process (PID: 0) - CPU: 696.1%, MEM: 4.844424926794684e-05%
2025-12-16 13:27:51 - System Idle Process (PID: 0) - CPU: 587.1%, MEM: 4.844424926794684e-05%
2025-12-16 13:28:53 - System Idle Process (PID: 0) - CPU: 707.3%, MEM: 4.844424926794684e-05%
2025-12-16 13:29:55 - System Idle Process (PID: 0) - CPU: 709.0%, MEM: 4.844424926794684e-05%
2025-12-16 13:30:57 - System Idle Process (PID: 0) - CPU: 703.7%, MEM: 4.844424926794684e-05%
2025-12-16 13:31:59 - System Idle Process (PID: 0) - CPU: 706.3%, MEM: 4.844424926794684e-05%
2025-12-16 13:33:00 - System Idle Process (PID: 0) - CPU: 716.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:34:02 - System Idle Process (PID: 0) - CPU: 710.2%, MEM: 4.844424926794684e-05%
2025-12-16 13:35:04 - System Idle Process (PID: 0) - CPU: 639.0%, MEM: 4.844424926794684e-05%
2025-12-16 13:36:06 - System Idle Process (PID: 0) - CPU: 629.7%, MEM: 4.844424926794684e-05%
2025-12-16 13:37:08 - System Idle Process (PID: 0) - CPU: 673.1%, MEM: 4.844424926794684e-05%
2025-12-16 13:38:10 - System Idle Process (PID: 0) - CPU: 694.0%, MEM: 4.844424926794684e-05%
2025-12-16 13:39:12 - System Idle Process (PID: 0) - CPU: 680.4%, MEM: 4.844424926794684e-05%
2025-12-16 13:40:14 - System Idle Process (PID: 0) - CPU: 658.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:41:16 - System Idle Process (PID: 0) - CPU: 636.0%, MEM: 4.844424926794684e-05%
2025-12-16 13:42:17 - System Idle Process (PID: 0) - CPU: 603.4%, MEM: 4.844424926794684e-05%
2025-12-16 13:43:20 - System Idle Process (PID: 0) - CPU: 606.9%, MEM: 4.844424926794684e-05%
2025-12-16 13:44:21 - System Idle Process (PID: 0) - CPU: 666.5%, MEM: 4.844424926794684e-05%
2025-12-16 13:45:23 - System Idle Process (PID: 0) - CPU: 639.8%, MEM: 4.844424926794684e-05%
2025-12-16 13:46:25 - System Idle Process (PID: 0) - CPU: 622.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:47:27 - System Idle Process (PID: 0) - CPU: 580.8%, MEM: 4.844424926794684e-05%
2025-12-16 13:48:29 - System Idle Process (PID: 0) - CPU: 655.0%, MEM: 4.844424926794684e-05%
2025-12-16 13:51:15 - System Idle Process (PID: 0) - CPU: 676.1%, MEM: 4.844424926794684e-05%
2025-12-16 13:52:17 - System Idle Process (PID: 0) - CPU: 676.0%, MEM: 4.844424926794684e-05%
2025-12-16 13:53:19 - System Idle Process (PID: 0) - CPU: 687.3%, MEM: 4.844424926794684e-05%
2025-12-16 13:54:21 - System Idle Process (PID: 0) - CPU: 670.6%, MEM: 4.844424926794684e-05%
2025-12-16 13:55:23 - System Idle Process (PID: 0) - CPU: 694.9%, MEM: 4.844424926794684e-05%
2025-12-16 13:56:24 - System Idle Process (PID: 0) - CPU: 653.7%, MEM: 4.844424926794684e-05%
2025-12-16 13:57:26 - System Idle Process (PID: 0) - CPU: 679.1%, MEM: 4.844424926794684e-05%
2025-12-16 13:58:28 - System Idle Process (PID: 0) - CPU: 658.8%, MEM: 4.844424926794684e-05%
